epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3776.78,1.14103,2.41718,1.41317,0.08594,0.3216,0.09041,0.06632,1.22296,2.90192,1.16951,0.0072694,0.0072694,0.0072694
43,3864.43,1.12653,2.403,1.40504,0.08551,0.29681,0.08381,0.05902,1.26515,2.74346,1.2056,0.0072028,0.0072028,0.0072028
44,3953.72,1.12973,2.39521,1.40413,0.03797,0.10775,0.02991,0.01975,1.39745,3.58313,1.29151,0.0071362,0.0071362,0.0071362
45,4042.47,1.12313,2.39434,1.39983,0.07597,0.2512,0.07197,0.05347,1.25741,2.99076,1.13126,0.0070696,0.0070696,0.0070696
46,4129.84,1.11967,2.3976,1.39988,0.03118,0.13588,0.02499,0.01812,1.43322,3.93437,1.41886,0.007003,0.007003,0.007003
47,4219.08,1.12011,2.39555,1.40175,0.05943,0.162,0.0431,0.03338,1.15767,3.45277,1.09887,0.0069364,0.0069364,0.0069364
48,4306.9,1.11267,2.37289,1.39164,0.0583,0.20972,0.05787,0.0378,1.52445,3.3112,1.24295,0.0068698,0.0068698,0.0068698
49,4395.88,1.11529,2.37749,1.39575,0.05406,0.22751,0.05364,0.03795,1.3738,3.15075,1.17487,0.0068032,0.0068032,0.0068032
50,4484.73,1.11442,2.37837,1.3966,0.04945,0.12816,0.03268,0.02428,1.27144,3.48314,1.14683,0.0067366,0.0067366,0.0067366
51,4571.76,1.10593,2.37249,1.38432,0.04037,0.07956,0.02133,0.01472,1.5826,4.10925,1.31861,0.00667,0.00667,0.00667
52,4659.12,1.09778,2.35603,1.38255,0.04273,0.1534,0.03269,0.02285,1.34945,3.75865,1.22909,0.0066034,0.0066034,0.0066034
53,4747.81,1.09018,2.35098,1.37474,0.03241,0.04513,0.01097,0.00703,1.91742,4.4944,1.59605,0.0065368,0.0065368,0.0065368
54,4836.25,1.09023,2.34989,1.3768,0.08212,0.13951,0.04503,0.03191,1.5654,3.61637,1.28918,0.0064702,0.0064702,0.0064702
55,4925.12,1.08747,2.34071,1.36988,0.11329,0.38411,0.12925,0.09868,1.07352,2.36901,1.05427,0.0064036,0.0064036,0.0064036
56,5013.67,1.0901,2.34053,1.37624,0.0601,0.14957,0.04991,0.03592,1.44905,3.55821,1.5129,0.006337,0.006337,0.006337
57,5102.67,1.07938,2.33012,1.36812,0.0208,0.05911,0.01215,0.00772,1.90124,4.6236,2.20443,0.0062704,0.0062704,0.0062704
58,5191.97,1.06568,2.32465,1.35799,0.04757,0.15348,0.04613,0.03334,1.53354,3.49742,1.56599,0.0062038,0.0062038,0.0062038
59,5279.95,1.07708,2.32693,1.36338,0.06367,0.20012,0.07207,0.05294,1.32001,3.29737,1.29934,0.0061372,0.0061372,0.0061372
60,5368.64,1.06544,2.31089,1.35176,0.03683,0.11574,0.03554,0.02552,1.46224,3.8406,1.27659,0.0060706,0.0060706,0.0060706
61,5457.32,1.06113,2.30603,1.35064,0.02054,0.05805,0.01865,0.01383,1.55623,4.32412,1.52115,0.006004,0.006004,0.006004
62,5545.33,1.05985,2.29336,1.34634,0.0064,0.01748,0.00254,0.00163,1.99323,5.49538,1.91603,0.0059374,0.0059374,0.0059374
63,5637.31,1.0602,2.30784,1.35322,0.01586,0.03402,0.00695,0.00471,1.8748,4.72855,1.89142,0.0058708,0.0058708,0.0058708
64,5726.24,1.05219,2.29613,1.34683,0.00787,0.0239,0.00396,0.00299,1.73394,5.35837,1.58013,0.0058042,0.0058042,0.0058042
65,5814.09,1.05595,2.29705,1.3443,0.01003,0.00506,0.00114,0.00078,2.59507,6.48652,2.789,0.0057376,0.0057376,0.0057376
66,5903.02,1.04542,2.27728,1.33677,0.01397,0.01693,0.00588,0.0042,1.65936,5.2252,1.53282,0.005671,0.005671,0.005671
67,5991.71,1.04575,2.2811,1.33636,0.00553,0.01197,0.0023,0.00159,2.12256,5.8622,2.14044,0.0056044,0.0056044,0.0056044
68,6079.51,1.04133,2.26546,1.34014,0.00864,0.02644,0.00515,0.00357,1.56608,4.88682,1.49729,0.0055378,0.0055378,0.0055378
69,6169.66,1.04883,2.26925,1.34278,0.03901,0.14069,0.04675,0.03628,1.19128,3.58998,1.03175,0.0054712,0.0054712,0.0054712
70,6257.12,1.03836,2.27398,1.33682,0.03431,0.10303,0.03233,0.02341,1.39724,3.86096,1.16841,0.0054046,0.0054046,0.0054046
71,6346.11,1.02954,2.25658,1.3322,0.05862,0.14953,0.05964,0.04529,1.21401,3.47274,0.98753,0.005338,0.005338,0.005338
72,6435.84,1.04326,2.2754,1.34008,0.06164,0.11804,0.04742,0.03719,1.33396,3.79794,1.20008,0.0052714,0.0052714,0.0052714
73,6523.94,1.02877,2.2504,1.32952,0.0502,0.13171,0.0377,0.02813,1.57026,3.86094,1.40653,0.0052048,0.0052048,0.0052048
74,6613.36,1.03865,2.25484,1.33238,0.01453,0.02513,0.0046,0.00359,1.86645,5.353,1.78132,0.0051382,0.0051382,0.0051382
